,n_fold,k,score_function,algorithm,accuracy,precision,recall,f-measure
2636,2,210,chi2,SMO-RBFKernel,0.973404255319149,0.9750212169181598,0.9657148252400257,0.9701292743042247
2637,2,210,chi2,AdaBoostM1,0.9188829787234043,0.9097688160304338,0.9097688160304338,0.9097688160304338
2638,2,210,chi2,RandomCommittee,0.9906914893617021,0.989645601839558,0.989645601839558,0.989645601839558
2639,3,210,chi2,NaiveBayes,0.71875,0.7725324432005016,0.7679492119583095,0.7186842108754108
2640,3,210,chi2,KNN,0.9913563829787234,0.9903245895735167,0.9913282520229693,0.9908217216125641
2641,3,210,chi2,RandomForest,0.9933510638297872,0.9929325300978356,0.9929325300978356,0.9929325300978356
2642,3,210,chi2,LogisticRegression,0.9847074468085106,0.9852754237288136,0.9821969305376728,0.9836937179426141
2643,3,210,chi2,DecisionTree,0.9853723404255319,0.9835203818973183,0.9854834920068043,0.9844833278309674
2644,3,210,chi2,SimpleLogistic,0.973404255319149,0.975185725593416,0.968290367752789,0.9715289017614599
2645,3,210,chi2,JRIP,0.9202127659574468,0.9117197673564652,0.9320451491029389,0.9175962655328848
2646,3,210,chi2,SMO-PolyKernel,0.9853723404255319,0.9847782426935754,0.984107590951383,0.9844408330323824
2647,3,210,chi2,SMO-NormalizedPolyKernel,0.9813829787234043,0.9815433355449574,0.9788351832185183,0.9801558803848944
2648,3,210,chi2,SMO-Puk,0.988031914893617,0.9897682719600528,0.9848707273291166,0.9872158124985833
2649,3,210,chi2,SMO-RBFKernel,0.9847074468085106,0.9860099262362262,0.9815089800099621,0.9836705021537735
2650,3,210,chi2,AdaBoostM1,0.9375,0.9343561420430629,0.9325338571280885,0.9334272604669736
2651,3,210,chi2,RandomCommittee,0.9920212765957447,0.9915190361174027,0.9915190361174027,0.9915190361174027
2652,4,210,chi2,NaiveBayes,0.7273936170212766,0.7806792191246289,0.7778054228279001,0.7273699940755675
2653,4,210,chi2,KNN,0.9793882978723404,0.9778699887739495,0.9782059619063774,0.9780374555970242
2654,4,210,chi2,RandomForest,0.9893617021276596,0.9904479822288041,0.986898131131782,0.9886198547215496
2655,4,210,chi2,LogisticRegression,0.9853723404255319,0.9850857146097618,0.9837032429528683,0.9843860599528487
2656,4,210,chi2,DecisionTree,0.9800531914893617,0.9784200015434452,0.9790909176585899,0.9787533810000979
2657,4,210,chi2,SimpleLogistic,0.9694148936170213,0.970108431322061,0.9645791512341315,0.9672100690264447
2658,4,210,chi2,JRIP,0.9042553191489362,0.895159830446199,0.9155682471467481,0.900968476501413
2659,4,210,chi2,SMO-PolyKernel,0.9847074468085106,0.98353575384059,0.9838757103678362,0.9837052089913405
2660,4,210,chi2,SMO-NormalizedPolyKernel,0.9780585106382979,0.9792395654659806,0.973968729678532,0.9764854704256182
2661,4,210,chi2,SMO-Puk,0.980718085106383,0.9833026960784315,0.9757461807420811,0.9792895601168287
2662,4,210,chi2,SMO-RBFKernel,0.9827127659574468,0.9840621744686281,0.9791059967768385,0.9814802185394833
2663,4,210,chi2,AdaBoostM1,0.9202127659574468,0.9110812956928891,0.924470581582742,0.916429587482219
2664,4,210,chi2,RandomCommittee,0.988031914893617,0.9882840673538349,0.9861856427945376,0.9872158124985833
2665,5,210,chi2,NaiveBayes,0.7087765957446809,0.7685841248511132,0.7725737088838092,0.708734876366897
2666,5,210,chi2,KNN,0.9753989361702128,0.9740366749355513,0.9719751268838868,0.9729918487295035
2667,5,210,chi2,RandomForest,0.9886968085106383,0.9882409265089467,0.9869726085777382,0.9876016326198098
2668,5,210,chi2,LogisticRegression,0.973404255319149,0.9704894953432965,0.9712951842237806,0.9708901159943716
2669,5,210,chi2,DecisionTree,0.9747340425531915,0.9705163669893961,0.9744721242880943,0.9724390690855782
2670,5,210,chi2,SimpleLogistic,0.9634308510638298,0.9624666114027816,0.9571442408275541,0.9597110220454548
2671,5,210,chi2,JRIP,0.84375,0.8312985084518673,0.8582910387044284,0.8369566470935299
2672,5,210,chi2,SMO-PolyKernel,0.9694148936170213,0.9654156901443197,0.9677850528844292,0.9665805546592264
2673,5,210,chi2,SMO-NormalizedPolyKernel,0.9747340425531915,0.9739213896106936,0.9706016814536438,0.972225462066606
2674,5,210,chi2,SMO-Puk,0.9840425531914894,0.9860079393153323,0.9790786873813491,0.9823957674930357
2675,5,210,chi2,SMO-RBFKernel,0.973404255319149,0.9733019023079875,0.9682848397969858,0.9707119489016981
2676,5,210,chi2,AdaBoostM1,0.9222074468085106,0.9128593431613587,0.9180058889620705,0.9153175567559764
2677,5,210,chi2,RandomCommittee,0.9886968085106383,0.9882409265089467,0.9869726085777382,0.9876016326198098
2678,6,210,chi2,NaiveBayes,0.6952761144377911,0.764930001772107,0.7570986356861695,0.6951107811907604
